region_country,model,sample_mean,upper_95_ui,lower_95_ui,sd,level,definition
SEARO B,56.75,57.26,119.55,22.57,26.36,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
SEARO D,30.73,32.5,68.85,12.36,14.95,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
South Asia,30.25,32.73,69.44,13.11,15.67,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Southeast Asia,50.46,52.54,119.26,20.19,25.17,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Southern Latin America,222.26,240.13,496.52,93.76,114.37,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Southern Sub-Saharan Africa,119.95,121,244.66,49.68,51.13,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Tropical Latin America,136.59,140.2,305.43,53.21,65.02,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
WPRO A,548.67,577.12,1281.68,218.92,266.39,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
WPRO B,88.2,92.81,205.17,38.26,41.98,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Western Europe,549.13,572.9,1214.38,225.38,263.01,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Western Sub-Saharan Africa,16.77,17.91,40.91,6.69,8.47,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Afghanistan,4.18,4.23,8.52,1.68,1.85,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Albania,103.2,105.19,210.15,37.69,45.98,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Algeria,93.68,98.15,214.09,35.25,46.53,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Andorra,693.53,732.88,1586.46,282.24,337.88,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Angola,61.01,62.81,134.78,22.04,29.98,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Antigua and Barbuda,271.49,282.53,602.44,110.95,127.44,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Argentina,212.37,218.96,468.97,81.8,99.8,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Armenia,61.95,64.65,131.28,25.34,28.41,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Australia,668.88,709.66,1476.8,266.12,329.45,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Austria,643.92,669.2,1512.78,244.91,323.3,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Azerbaijan,119.49,125.81,268.23,44.96,56.97,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Bahamas,453.46,464.06,971.97,179.76,207.02,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Bahrain,283.62,290.75,614.81,117.36,135.83,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Bangladesh,13.96,14.68,30.42,5.43,6.54,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Barbados,314.9,329.93,745.96,129.79,153,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Belarus,179.83,188.68,399.3,71.03,84.98,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Belgium,597.88,637.16,1319.98,250.43,287.15,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Belize,85.18,90.08,188.36,35.19,41.09,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Benin,12.59,13.13,27.8,4.87,5.76,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Bhutan,60.77,63.55,131.53,23.85,29.3,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Bolivia Plurinational States of,49.65,52.1,113.52,20.55,24.69,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Bosnia and Herzegovina,100.37,105.37,222.28,40.88,47.74,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Botswana,188.6,194.65,423.77,78.35,86.57,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Brazil,27.02,27.96,63.05,11.31,12.85,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Brunei Darussalam,834.34,876.81,1814.11,343.79,394.81,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Bulgaria,180.06,190.31,410.04,75.6,86.18,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Burkina Faso,10.4,10.96,23.54,4.08,5.07,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Burundi,3.65,3.92,8.45,1.46,1.87,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Cote d'Ivoire,17.4,18.55,41.9,7.52,8.98,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Cabo Verde Republic of,40.04,41.31,90.02,15.61,19.19,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Cambodia,19.48,20.46,44.13,7.91,9.54,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Cameroon,19.62,20.45,43.02,7.54,9.51,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Canada,619.44,646.49,1461.88,237.17,299.35,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Central African Republic,5.95,6.52,14.15,2.56,3.05,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Chad,11.9,12.23,25.9,4.92,5.54,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Chile,254.32,264.25,550.71,103.47,118.61,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
China,84.73,86.74,182.62,35.18,38.46,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Colombia,112.73,117.19,246.68,48.75,53.92,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Comoros,9.47,9.94,21.3,3.72,4.67,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Congo,42.79,43.98,93.3,17.08,20.45,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Cook Islands,112.93,116.16,256.1,43.37,55.66,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Costa Rica,145.1,150.4,320.73,60.46,67.13,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Croatia,256.97,271.12,581.77,103.91,126.78,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Cuba,39.82,41.24,88.23,15.6,18.6,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Cyprus,454.07,487.69,1042.45,186.83,236.72,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Czech Republic,369.41,374.96,815.56,142.21,174.35,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Democratic People's Republic of Korea,NA,NA,NA,NA,NA,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Democratic Republic of the Congo,2.41,2.53,5.73,0.9,1.26,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Denmark,647.94,677.56,1507.26,255.84,310.85,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Djibouti,21.72,22.14,47.6,8.51,10.11,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Dominica,154.8,160.41,341.95,64.52,69.77,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Dominican Republic,110.54,115.18,259.81,44.8,55.55,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Ecuador,104.43,105.79,215.84,41.16,46.98,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Egypt,68.81,72.18,156.1,27.65,33,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
El Salvador,74.31,77.11,165.39,29.36,34.28,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Equatorial Guinea,422.79,444.62,943.37,172.34,202.71,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Eritrea,3.4,3.46,7.51,1.37,1.6,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Estonia,281.24,288.24,588.84,113.49,119.84,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Ethiopia,7.69,7.97,17.06,2.91,3.67,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Fiji,48.38,49.93,107.66,20.24,21.95,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Finland,562.11,580.97,1222.78,221.39,270.01,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
France,532.06,545.08,1193.02,210.86,266.71,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Gabon,185.11,192.98,408.88,75.18,90.89,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Gambia,17.43,17.85,36.8,7.01,8.14,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Georgia,54.79,56.84,125.49,22.86,26.02,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Germany,590.61,617.52,1356.8,244.5,283.62,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Ghana,14.28,15.03,32.5,5.94,6.76,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Greece,407.09,437.22,943.81,162.5,209.06,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Grenada,127.83,136.21,289.71,54.39,62.97,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Guatemala,50.53,53.28,114.6,21.54,23.83,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Guinea,7.79,8.11,16.94,3.35,3.61,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Guinea-Bissau,9.36,9.87,21.32,3.79,4.55,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Guyana,28.71,30.36,65.87,12.1,13.87,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Haiti,8.88,9.34,19.62,3.74,4.26,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Honduras,38.54,40.08,87.3,16.04,18.35,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Hungary,287.88,293.87,621.89,117.68,137.25,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Iceland,551.5,579,1266.73,221.34,266.26,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
India,34.41,36.04,76.73,14.3,16.35,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Indonesia,44.48,46.61,102.61,19.03,21.68,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Iran (Islamic Republic of),198.45,209.55,454.77,79.33,98.46,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Iraq,37.76,39.77,82.36,15.15,17.54,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Ireland,655.35,685.01,1505.89,253.65,316.7,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Israel,399,414.11,884.31,162.47,191.5,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Italy,489.64,523.5,1148.02,188.98,240.55,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Jamaica,85.09,87.87,185.36,35.51,40.15,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Japan,514.26,536.06,1099.83,211.51,236.18,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Jordan,62.03,65.52,136.87,26.21,29.89,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Kazakhstan,157.66,161.99,360.55,61.39,79.15,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Kenya,14.03,14.8,30.87,5.54,6.87,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Kiribati,21.41,22.6,48.71,8.68,10.82,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Kuwait,579.78,596.82,1289.85,226.09,272.97,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Kyrgyzstan,21.08,21.49,43.99,8.27,9.28,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Lao People's Democratic Republic,23.19,23.81,51.3,9.83,11.02,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Latvia,229.33,245.68,509.04,94.48,109.66,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Lebanon,176.16,184.2,396.53,74.73,83.79,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Lesotho,15.54,16.42,36.44,6.39,7.57,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Liberia,3.81,3.99,9,1.58,1.89,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Libya,234.37,245.29,514.18,94.52,108.6,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Lithuania,248.53,255.54,534.81,102.3,115.92,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Luxembourg,1572.08,1643.8,3516.66,633.13,751.05,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Madagascar,7.19,7.46,15.66,2.89,3.48,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Malawi,6.53,6.72,14.13,2.58,3.04,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Malaysia,201.68,210.32,455.2,80.64,98.7,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Maldives,95.3,99.5,215.74,38.15,45.34,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Mali,9.87,10.17,21.49,4.05,4.72,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Malta,403.19,412.02,857.69,155.02,191.11,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Marshall Islands,22.79,23.92,51.42,9.4,10.71,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Mauritania,20.33,21.05,43.29,8.69,9.06,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Mauritius,192.32,197.39,413.64,77.98,89.95,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Mexico,210.52,221.29,491.59,87.89,106.23,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Micronesia (Federated States of),35.15,36.61,77.52,14.31,16.65,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Monaco,2569.59,2724.25,5584.32,1097.47,1218.67,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Mongolia,41.83,42.9,94.66,17.3,20.39,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Montenegro,169.67,179.34,365.12,69.18,79.52,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Morocco,50.92,51.28,109.9,19.86,22.86,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Mozambique,6.84,6.97,15.29,2.74,3.15,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Myanmar,9.6,9.91,21.83,3.67,4.72,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Namibia,76.06,82.15,188.81,30.8,41.79,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Nauru,21.17,22.18,48.65,8.85,10.33,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Nepal,11.06,11.48,25.13,4.64,5.35,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Netherlands,668.72,721.94,1579.6,264.98,347.63,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
New Zealand,445.75,457.97,928.12,184.16,197.08,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Nicaragua,36.17,38.21,83.25,14.84,17.85,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Niger,4.45,4.56,10.04,1.73,2.07,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Nigeria,21.69,22.72,48.38,8.35,9.84,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Niue,318.12,324,698.2,132.75,146.03,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Norway,985.06,1035.61,2162.49,412.81,475.97,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Oman,304.78,319.08,674.43,120.1,147.2,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Pakistan,25.12,26.34,56.7,10.26,12.2,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Palau,232.13,241.03,503.57,86.69,108.81,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Panama,176.26,182.34,378.95,73.19,80.45,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Papua New Guinea,22.89,24.71,53.35,9.64,11.65,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Paraguay,64.85,66.41,147.1,25.33,31.47,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Peru,113.61,118.6,252.42,46.27,53.01,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Philippines,40.15,41.83,83.57,17.21,18.2,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Poland,278.72,293.56,615.71,112.99,130.38,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Portugal,372.14,389.43,828.66,154.65,177.62,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Qatar,1404.55,1446.74,3113.76,537.28,660.78,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Republic of Korea,425.96,447.02,948.4,174.96,210.18,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Republic of Moldova,30.9,32.22,70.5,12.74,15.22,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Romania,194.4,202.22,439.38,79.57,93.24,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Russian Federation,287.83,296.04,648.53,106.32,138.93,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Rwanda,9.45,10.01,21.95,3.78,4.52,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Saint Kitts and Nevis,237.92,247.19,504.95,100.87,104.34,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Saint Lucia,137.18,142.68,314.18,51.94,65.83,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Saint Vincent and the Grenadines,127.91,137.99,286.34,51.83,61.38,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Samoa,43.9,45.08,96.16,17.64,20.89,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
San Marino,807.2,846.5,1778.94,335.79,373.59,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Sao Tome and Principe,16.26,16.79,35.25,6.16,7.76,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Saudi Arabia,336.05,355.3,739.95,138.22,156.35,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Senegal,16.31,17.6,39.54,6.8,8.45,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Serbia,136.65,147.2,317.36,57.83,66.4,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Seychelles,328.59,343.7,741.63,133.92,158.98,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Sierra Leone,8.82,9.21,19.47,3.53,4.11,primary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
